originalTitle,rating,startYear,endYear,runtimeMinutes,awardWins,numVotes,worstRating,bestRating,totalImages,totalVideos,totalCredits,criticReviewsTotal,titleType,awardNominationsExcludeWins,canHaveEpisodes,isRatable,isAdult,numRegions,userReviewsTotal,ratingCount,countryOfOrigin,genres
Sashiyum Sakunthalayum,"(4, 5]",2023,\N,122,0.0,408,1,10,7,3,23,0,movie,0,False,True,0,3,0,408,['IN'],Comedy
Justice of the Siblings of the Shinobi Village,"(8, 9]",1984,\N,\N,0.0,9,1,10,0,0,30,0,tvEpisode,0,False,True,0,1,0,9,['JP'],"Action,Adventure,Animation"
Side Roads,"(6, 7]",2016,\N,17,0.0,10,1,10,1,0,6,0,short,0,False,True,0,1,0,10,['PL'],Short
Boxeurs,"(4, 5]",1900,\N,1,0.0,13,1,10,1,0,4,0,short,0,False,True,0,1,0,13,['FR'],"Comedy,Short"
The New Batman Adventures,"(8, 9]",1997,1999,30,6.0,19746,1,10,719,0,438,6,tvSeries,10,True,True,0,31,41,19758,['US'],"Action,Adventure,Animation"
Spring,"(7, 8]",1970,\N,23,,11,1,10,93,0,11,0,tvEpisode,0,False,True,0,1,0,11,['GB'],Comedy
The Whole Truth,"(6, 7]",2016,\N,93,0.0,34144,1,10,41,16,209,57,movie,1,False,True,0,32,155,34175,['US'],"Crime,Drama,Mystery"
The Man from Thunder River,"(6, 7]",1943,\N,57,0.0,32,1,10,11,0,35,1,movie,0,False,True,0,3,0,32,['US'],"Drama,Western"
Leichenfund im Jagen 14,"(5, 6]",1968,\N,74,0.0,6,1,10,0,0,43,0,tvEpisode,0,False,True,0,1,0,6,['DDDE'],Crime
What Did You Do in the War Daddy?,"(6, 7]",1970,\N,\N,0.0,19,1,10,4,0,14,0,tvEpisode,0,False,True,0,1,1,19,['GB'],"Drama,History,War"
Stuck in the Middle with You,"(5, 6]",2007,\N,30,0.0,23,1,10,1,0,54,0,tvEpisode,0,False,True,0,1,2,23,['GB'],Comedy
Patagonia Treasure Trail,"(4, 5]",2016,\N,85,,20,1,10,3,0,35,0,movie,0,False,True,0,2,0,20,['US'],Western
O ahaireftos,"(5, 6]",1970,\N,83,0.0,21,1,10,46,0,44,0,movie,0,False,True,0,2,0,22,['GR'],Comedy
Kavyaarohan with Momila,"(4, 5]",2020,\N,75,0.0,5,1,10,1,0,8,0,tvEpisode,0,False,True,0,1,0,5,['NP'],Reality-TV
A Woman's Help,"(7, 8]",1961,\N,30,0.0,438,1,10,3,0,23,2,tvEpisode,0,False,True,0,1,5,438,['US'],"Drama,Mystery"
Senjô no nadeshiko,"(4, 5]",1959,\N,78,0.0,9,1,10,6,0,29,0,movie,0,False,True,0,2,0,9,['JP'],\N
Episode #1.3467,"(6, 7]",2007,\N,28,0.0,13,1,10,0,0,44,0,tvEpisode,0,False,True,0,7,0,13,['GB'],"Crime,Drama,Romance"
Tørst - Framtidens forbrytelser,"(4, 5]",1999,\N,\N,1.0,8,1,10,2,0,85,0,movie,0,False,True,0,1,0,8,['NO'],"Crime,Drama"
Sie und Er,"(7, 8]",1992,\N,184,1.0,10,1,10,0,0,42,0,tvMovie,0,False,True,0,1,0,10,['DE'],Drama
Hot Shorts: Christy Canyon,"(7, 8]",1986,\N,\N,0.0,20,1,10,0,0,9,0,video,0,False,True,1,1,1,20,['US'],"Adult,Short"
Sir Hubert Wilkins & Mary Healy and Peter Lind Hayes,"(8, 9]",1958,\N,30,0.0,34,1,10,5,0,13,0,tvEpisode,0,False,True,0,1,0,34,['US'],"Family,Game-Show"
Pälsen,"(5, 6]",1966,\N,25,0.0,5,1,10,1,0,10,0,tvMovie,0,False,True,0,2,0,5,['SE'],Drama
Pryanik,"(5, 6]",1993,\N,10,0.0,27,1,10,5,0,23,0,short,0,False,True,0,4,0,27,['RU'],"Animation,Short"
Místa,"(5, 6]",2014,\N,108,0.0,57,1,10,71,1,48,6,movie,0,False,True,0,5,1,57,"['CZ', 'SK']",Drama
Giger - tajunnan ydin,"(4, 5]",1992,\N,30,1.0,31,1,10,1,0,23,0,short,0,False,True,0,4,0,31,['FI'],"Documentary,Short"
Sands of Time,"(8, 9]",1997,\N,25,0.0,33,1,10,0,0,21,0,tvEpisode,0,False,True,0,1,1,33,['GB'],"Crime,Drama"
In Character With...,"(2, 3]",2009,2016,\N,0.0,17,1,10,0,0,82,0,tvSeries,0,True,True,0,1,0,17,['US'],Talk-Show
The Dossier Case,"(9, 10]",2012,\N,40,1.0,9,1,10,1,0,106,0,short,5,False,True,0,1,0,9,['AU'],"Adventure,Comedy,Short"
The Mysterious Rain Shelter! Nyasper Is Watching!!,"(7, 8]",2014,\N,21,0.0,108,1,10,2,0,125,0,tvEpisode,0,False,True,0,1,0,108,['JP'],"Action,Adventure,Animation"
Hoodlum Priest and the Gold Mint,"(5, 6]",1968,\N,80,0.0,24,1,10,1,0,9,1,movie,0,False,True,0,2,0,24,['JP'],"Action,Crime"
Episode #2.46,"(8, 9]",1976,\N,\N,,13,1,10,0,0,54,0,tvEpisode,0,False,True,0,7,0,13,['US'],"Comedy,Romance"
The Switchman,"(7, 8]",1996,\N,\N,0.0,356,1,10,7,0,72,0,tvEpisode,0,False,True,0,1,11,356,['US'],"Action,Adventure,Crime"
Ad Fundum,"(6, 7]",1993,\N,98,1.0,1442,1,10,3,0,87,0,movie,1,False,True,0,3,8,1442,['BE'],Drama
Achtunddreißig fünf,"(8, 9]",1993,\N,28,0.0,25,1,10,0,0,45,0,tvEpisode,0,False,True,0,1,0,25,['DE'],"Comedy,Family"
Hush,"(6, 7]",2007,\N,\N,0.0,6,1,10,0,0,21,0,tvMovie,0,False,True,0,1,0,6,['AU'],Comedy
The Colour of Money,"(6, 7]",2009,2009,\N,0.0,11,1,10,1,0,20,0,tvSeries,0,True,True,0,1,0,11,['GB'],Game-Show
Slave,"(2, 3]",2012,\N,110,,37,1,10,1,0,79,0,movie,0,False,True,0,2,0,37,"['CY', 'DE']","Crime,Thriller"
And Away We Go!,"(7, 8]",1989,\N,48,,90,1,10,1,0,68,0,tvEpisode,0,False,True,0,1,0,90,['US'],"Drama,Romance"
Tricky Business,"(5, 6]",1995,\N,\N,0.0,98,1,10,0,0,8,0,video,0,False,True,1,1,0,98,['US'],Adult
Mea Culpa,"(7, 8]",2018,\N,50,0.0,78,1,10,0,0,158,1,tvEpisode,0,False,True,0,1,0,78,"['IT', 'FR']","Drama,Mystery"
Ice Bound,"(6, 7]",2003,\N,89,,612,1,10,71,0,127,3,tvMovie,1,False,True,0,9,13,612,"['CA', 'US']",Drama
No More Mr. Nice Guy,"(7, 8]",2018,\N,42,,226,1,10,4,2,186,2,tvEpisode,0,False,True,0,1,0,226,['US'],"Drama,Sci-Fi,Thriller"
"Six Man, Texas","(8, 9]",2008,\N,71,1.0,17,1,10,1,0,42,1,movie,0,False,True,0,1,5,17,['US'],Documentary
Hanadama: Gen'ei,"(6, 7]",2016,\N,83,,35,1,10,1,0,38,1,movie,0,False,True,0,4,1,35,['JP'],"Drama,Thriller"
State's Attorney,"(6, 7]",1932,\N,79,,409,1,10,30,0,66,4,movie,0,False,True,0,10,15,408,['US'],Drama
Karo and Piyobupt: Ame no Hi,"(5, 6]",1993,\N,4,0.0,17,1,10,1,0,3,0,short,0,False,True,0,5,0,17,['JP'],"Animation,Short"
Episode #1.4,"(6, 7]",2023,\N,43,,58,1,10,1,0,168,0,tvEpisode,0,False,True,0,7,0,59,['SE'],"Crime,Drama,Mystery"
Saknys karcios,"(8, 9]",2016,\N,17,0.0,17,1,10,10,0,23,0,short,2,False,True,0,2,0,17,['LT'],"Drama,Short"
Mary & Adam,"(6, 7]",2018,\N,41,0.0,36,1,10,1,0,41,0,tvEpisode,0,False,True,0,1,0,36,['US'],"Reality-TV,Romance"
Hallucination musicale,"(6, 7]",1906,\N,6,0.0,12,1,10,0,0,2,0,short,0,False,True,0,2,0,12,['FR'],Short
Gamma Level: Radioactive,"(8, 9]",1996,\N,25,0.0,14,1,10,1,0,60,2,tvEpisode,0,False,True,0,1,0,14,['AU'],"Action,Adventure,Family"
Le magicien,"(6, 7]",1898,\N,1,,1019,1,10,7,0,3,3,short,0,False,True,0,7,9,1021,['FR'],"Fantasy,Horror,Short"
New Roles,"(9, 10]",2020,\N,\N,0.0,43,1,10,1,0,49,0,tvEpisode,0,False,True,0,1,0,43,['IN'],Drama
David Lomas Investigates,"(9, 10]",2020,2020,\N,0.0,21,1,10,3,0,9,0,tvSeries,0,True,True,0,2,1,21,['NZ'],Reality-TV
Una leyenda de amor,"(7, 8]",1982,\N,101,0.0,15,1,10,2,0,37,0,movie,1,False,True,0,1,0,15,['MX'],"Drama,Romance"
Les p'tites têtes,"(3, 4]",1982,\N,77,0.0,27,1,10,1,0,55,0,movie,0,False,True,0,2,0,27,['FR'],Comedy
Throne for a Loss,"(5, 6]",1966,\N,6,0.0,12,1,10,0,0,11,0,short,0,False,True,0,1,0,12,['US'],"Animation,Short"
Falling for You,"(9, 10]",2016,\N,\N,0.0,12,1,10,1,0,127,0,tvEpisode,0,False,True,0,1,0,12,['CA'],"Family,Music"
Defund,"(5, 6]",2021,\N,14,1.0,19,1,10,6,0,21,2,short,3,False,True,0,1,0,19,['CA'],Short
His Favorite Pastime,"(4, 5]",1914,\N,16,0.0,1253,1,10,10,0,19,6,short,0,False,True,0,16,15,1253,['US'],"Comedy,Short"
I sette del gruppo selvaggio,"(4, 5]",1975,\N,\N,,69,1,10,1,0,45,0,movie,0,False,True,0,9,4,69,['IT'],Western
La caperucita roja,"(5, 6]",1960,\N,85,0.0,138,1,10,2,0,66,5,movie,0,False,True,0,5,5,138,['MX'],"Drama,Fantasy"
Vingt et une nuits avec Pattie,"(6, 7]",2015,\N,\N,3.0,680,1,10,3,1,88,22,movie,4,False,True,0,15,4,680,['FR'],"Comedy,Drama,Mystery"
"Duck! Rabbit, Duck!","(8, 9]",1953,\N,7,0.0,3643,1,10,15,0,17,2,short,0,False,True,0,12,25,3643,['US'],"Adventure,Animation,Comedy"
Ganz feine Leute,"(6, 7]",1980,\N,24,0.0,28,1,10,0,0,3,0,tvEpisode,0,False,True,0,1,0,28,['JP'],"Adventure,Animation,Comedy"
My So-Called Life: My So-Called Life Story,"(9, 10]",2007,\N,24,0.0,17,1,10,0,0,30,0,video,0,False,True,0,1,0,17,['US'],"Documentary,Short"
Now You See It,"(7, 8]",2017,\N,3,0.0,44,1,10,1,0,7,0,short,0,False,True,0,2,0,44,['GB'],"Animation,Short"
Rose,"(6, 7]",2014,\N,\N,0.0,18,1,10,1,1,18,0,movie,0,False,True,0,1,0,18,['IN'],"Drama,Romance"
The Sins of the Fathers,"(8, 9]",1970,\N,\N,0.0,72,1,10,11,0,42,2,tvEpisode,0,False,True,0,1,4,72,['US'],Western
Dao,"(6, 7]",1995,\N,105,1.0,3644,1,10,15,0,111,15,movie,2,False,True,0,19,40,3645,"['HK', 'CN']",Action
JFK: The Final Evidence,"(7, 8]",2023,2023,\N,,32,1,10,5,0,20,0,tvMiniSeries,0,True,True,0,2,0,32,['GB'],"Action,Crime,Documentary"
Colours,"(6, 7]",2003,\N,20,1.0,31,1,10,2,0,31,0,short,0,False,True,0,1,1,31,['ES'],"Comedy,Short"
You Never Left,"(7, 8]",2010,\N,8,,14,1,10,5,0,27,0,short,0,False,True,0,1,0,14,['US'],Short
Histoire de rire,"(6, 7]",1941,\N,\N,0.0,17,1,10,1,0,23,0,movie,0,False,True,0,11,1,17,['FR'],Comedy
In His Father's House,"(7, 8]",1981,\N,49,0.0,85,1,10,1,0,85,0,tvEpisode,0,False,True,0,1,1,85,['US'],"Drama,Romance"
Disco,"(7, 8]",2013,\N,29,,10,1,10,0,0,66,0,short,0,False,True,0,2,0,10,['FI'],"Documentary,Short"
Heaven Scent,"(6, 7]",1997,\N,\N,0.0,121,1,10,3,0,111,0,tvEpisode,0,False,True,0,1,2,121,['US'],"Drama,Romance"
Soft Like Me,"(6, 7]",1996,\N,26,0.0,60,1,10,2,0,20,2,short,0,False,True,0,2,0,60,['CA'],Short
Candid Candid Camera Volume 6,"(4, 5]",1987,\N,60,0.0,47,1,10,6,0,11,0,video,0,False,True,0,1,0,47,['US'],"Comedy,Reality-TV"
The vow of obedience (An obedient hostage),"(8, 9]",2022,\N,\N,0.0,7,1,10,1,0,3,0,short,0,False,True,0,1,0,7,['RU'],"Drama,Short"
Wake up! Kabigon!,"(7, 8]",1998,\N,22,0.0,551,1,10,2,0,39,0,tvEpisode,0,False,True,0,1,0,551,['JP'],"Action,Adventure,Animation"
1647: Imaginary Friends,"(7, 8]",1992,\N,28,0.0,13,1,10,1,0,24,0,tvEpisode,0,False,True,0,1,0,13,['US'],"Family,Fantasy,Music"
Ashbah,"(5, 6]",1982,\N,143,0.0,15,1,10,12,0,10,0,movie,0,False,True,0,2,0,15,['IR'],\N
The Diplomat,"(7, 8]",2023,\N,50,3.0,61747,1,10,62,5,678,28,tvSeries,22,True,True,0,24,462,61851,"['GB', 'US']","Comedy,Drama,Thriller"
Don't Shoot Me Close-up,"(8, 9]",2017,\N,11,0.0,8,1,10,2,0,7,0,short,0,False,True,0,1,0,8,['AZ'],"Comedy,Drama,Short"
Pillow Talk,"(7, 8]",1988,\N,47,0.0,101,1,10,2,0,72,1,tvEpisode,0,False,True,0,1,0,101,['US'],"Drama,Romance"
The Uninvited,"(3, 4]",2008,\N,97,,1128,1,10,1,1,45,1,movie,0,False,True,0,3,20,1128,['US'],"Horror,Thriller"
Fallout: The Wastes,"(7, 8]",2011,\N,12,0.0,16,1,10,2,0,25,0,short,0,False,True,0,1,0,16,['US'],"Action,Short"
Japan: The Future,"(7, 8]",2008,\N,46,0.0,24,1,10,2,0,18,0,tvEpisode,0,False,True,0,1,0,24,['CA'],"Adventure,Documentary"
Christmas Is,"(4, 5]",1970,\N,30,0.0,135,1,10,3,0,39,0,tvMovie,0,False,True,0,1,9,135,['US'],"Animation,Family"
Hae-pi Too-ge-deo,"(7, 8]",1999,1999,65,0.0,46,1,10,20,0,10,0,tvSeries,0,True,True,0,5,2,46,['KR'],"Comedy,Drama,Romance"
Home Is Where the Hart Is,"(4, 5]",1987,\N,94,0.0,157,1,10,2,0,97,0,movie,0,False,True,0,8,3,157,['CA'],Comedy
Manila,"(6, 7]",2006,\N,6,1.0,32,1,10,1,0,10,0,short,0,False,True,0,1,0,32,['IT'],Short
Episode #3.8,"(5, 6]",1997,\N,\N,,7,1,10,0,0,4,0,tvEpisode,0,False,True,0,7,0,7,['GB'],"Comedy,Talk-Show"
"The Forbidden City, Pekin","(3, 4]",1901,\N,\N,0.0,41,1,10,1,0,2,0,short,0,False,True,0,2,1,41,['US'],"Documentary,Short"
The Punished,"(8, 9]",2012,\N,94,0.0,13,1,10,1,0,64,0,movie,0,False,True,0,2,0,13,['US'],Thriller
Post Telefonic Suspendat Temporar,"(6, 7]",2002,\N,14,0.0,5,1,10,0,0,3,0,short,0,False,True,0,4,0,5,['RO'],Short
En fisker i Hanstholm,"(4, 5]",1977,\N,62,0.0,12,1,10,1,0,10,0,movie,0,False,True,0,2,0,12,['DK'],\N
The Incorrigible Dukane,"(6, 7]",1915,\N,40,0.0,29,1,10,2,0,17,1,short,0,False,True,0,1,2,29,['US'],"Comedy,Romance,Short"
Facing Fearful Odds,"(7, 8]",1974,\N,51,,88,1,10,2,0,40,1,tvEpisode,0,False,True,0,1,2,88,['GB'],Drama
Dokunmayin Sabanima,"(7, 8]",1979,\N,\N,0.0,4191,1,10,6,0,51,0,movie,0,False,True,0,1,0,4194,['TR'],"Comedy,Romance"
When Flanders Failed,"(8, 9]",1991,\N,30,0.0,4138,1,10,5,0,163,0,tvEpisode,0,False,True,0,1,7,4146,['US'],"Animation,Comedy"
Unsere deutschen Kleinstädter,"(8, 9]",1964,\N,90,0.0,12,1,10,0,0,18,0,tvMovie,0,False,True,0,1,0,12,['XWG'],Comedy
Der Fangschuß,"(6, 7]",1976,\N,\N,2.0,1443,1,10,10,0,42,10,movie,2,False,True,0,20,13,1443,"['FR', 'XWG']","Drama,War"
Maldoror,"(6, 7]",1977,\N,100,0.0,20,1,10,2,0,22,0,movie,0,False,True,0,1,0,20,['IT'],"Drama,Romance"
Ikke Uten Min Søster,"(5, 6]",2021,\N,\N,0.0,16,1,10,0,0,92,0,tvEpisode,0,False,True,0,1,0,16,['NO'],"Comedy,Drama"
Predator: Dark Ages,"(6, 7]",2015,\N,27,0.0,2862,1,10,16,0,247,5,short,0,False,True,0,5,37,2865,['GB'],"Action,Horror,Sci-Fi"
Haven: Origins,"(6, 7]",2014,2015,\N,0.0,19,1,10,5,0,81,0,tvSeries,0,True,True,0,3,0,19,['US'],Drama
Mimara,"(7, 8]",1991,\N,30,0.0,15,1,10,0,0,8,0,short,0,False,True,0,1,0,15,['HR'],Short
El Banat Ayza Eih,"(5, 6]",1980,\N,\N,0.0,95,1,10,3,0,19,0,movie,0,False,True,0,1,0,95,['EG'],"Comedy,Romance"
Sundaranga Jaana,"(7, 8]",2016,\N,\N,,56,1,10,34,1,18,0,movie,0,False,True,0,1,0,56,['IN'],Comedy
Angels Around Me,"(2, 3]",2013,\N,93,1.0,108,1,10,8,1,79,0,movie,0,False,True,0,3,1,108,['US'],Action
Hyper Show,"(6, 7]",1983,\N,\N,0.0,9,1,10,0,0,54,0,tvEpisode,0,False,True,0,1,0,9,['JP'],"Action,Adventure,Animation"
Tangier,"(7, 8]",2014,\N,\N,0.0,237,1,10,2,0,200,4,tvEpisode,0,False,True,0,1,0,237,['US'],"Drama,History,War"
The Best Laid Plans,"(8, 9]",1996,\N,50,,37,1,10,2,0,80,0,tvEpisode,0,False,True,0,1,0,37,['GB'],"Comedy,Crime,Drama"
Dr. Henry Lee: The Modern Day Charlie Chan,"(5, 6]",2007,\N,\N,0.0,9,1,10,0,0,9,0,video,0,False,True,0,1,1,9,['US'],"Documentary,Short"
Opie and the Carnival,"(7, 8]",1965,\N,30,0.0,302,1,10,11,0,40,0,tvEpisode,0,False,True,0,1,4,302,['US'],"Comedy,Family"
Pink Lips,"(4, 5]",2012,\N,\N,0.0,8,1,10,0,0,25,1,video,0,False,True,1,1,0,8,['US'],Adult
Insatiable,"(6, 7]",1980,\N,77,,678,1,10,0,0,43,17,movie,0,False,True,1,8,10,680,['US'],"Adult,Drama"
Blondie,"(5, 6]",1985,\N,90,,10,1,10,0,0,24,0,movie,0,False,True,1,1,1,10,['US'],Adult
Three Wishes,"(5, 6]",1989,\N,35,0.0,45,1,10,8,0,85,0,video,0,False,True,0,1,1,45,['US'],"Family,Fantasy,Short"
XXXVII Festival Internacional de Cine de San Sebastián - Ceremonia de clausura,"(9, 10]",1989,\N,\N,,91,1,10,0,0,5,0,tvSpecial,0,False,True,0,1,0,91,['ES'],\N
Meet the Shannons,"(7, 8]",2011,\N,44,0.0,127,1,10,1,0,180,0,tvEpisode,0,False,True,0,1,1,127,['US'],"Crime,Drama,Mystery"
La fiera,"(7, 8]",1983,1984,\N,2.0,52,1,10,3,0,64,0,tvSeries,0,True,True,0,6,0,52,['MX'],"Drama,Romance"
Drive Thru History,"(9, 10]",2005,\N,\N,0.0,149,1,10,39,0,48,0,tvSeries,0,True,True,0,1,5,149,['US'],"Documentary,Family,History"
Roast-Beef and Movies,"(3, 4]",1934,\N,16,0.0,270,1,10,4,0,18,2,short,0,False,True,0,1,12,270,['US'],"Comedy,Music,Short"
La Cucaracha,"(5, 6]",1998,\N,95,1.0,413,1,10,10,0,191,11,movie,0,False,True,0,10,15,413,['US'],"Comedy,Crime,Drama"
Hokm al kawi,"(7, 8]",1951,\N,103,0.0,21,1,10,2,0,10,0,movie,0,False,True,0,2,0,21,['EG'],Drama
Lulu's Curls,"(8, 9]",2009,\N,\N,0.0,5,1,10,1,0,24,0,short,0,False,True,0,1,0,5,['US'],"Comedy,Short"
Shrinks Across the Sea,"(7, 8]",1975,\N,\N,0.0,103,1,10,0,0,46,1,tvEpisode,0,False,True,0,1,0,103,['US'],Comedy
Rondaus,"(6, 7]",1994,\N,72,0.0,8,1,10,0,0,44,0,movie,0,False,True,0,1,0,8,['FI'],Drama
S.O.B.,"(7, 8]",2009,\N,45,0.0,3195,1,10,4,0,146,1,tvEpisode,0,False,True,0,1,4,3203,['US'],"Action,Crime,Drama"
The Hurricane Heist,"(5, 6]",2018,\N,103,0.0,22710,1,10,50,51,649,118,movie,0,False,True,0,41,250,22725,"['GB', 'US']","Action,Adventure,Crime"
The Grandmothers,"(8, 9]",1971,\N,25,0.0,110,1,10,27,0,30,0,tvEpisode,0,False,True,0,1,2,111,['US'],"Crime,Drama"
I Want to Be Him,"(7, 8]",2021,\N,49,0.0,2451,1,10,5,0,236,2,tvEpisode,0,False,True,0,1,24,2455,['US'],"Drama,Western"
Verine John,"(5, 6]",1974,\N,18,0.0,11,1,10,9,0,6,0,short,0,False,True,0,1,0,11,['SUHH'],"Animation,Short"
Fei zi ying xiong lian meng,"(4, 5]",2018,\N,78,,13,1,10,16,0,37,0,movie,0,False,True,0,4,0,13,"['CN', 'TW']","Action,Comedy,Fantasy"
Baggage,"(6, 7]",2007,\N,22,0.0,157,1,10,2,0,93,0,tvEpisode,0,False,True,0,1,0,157,['US'],"Comedy,Family"
On Angel Wings,"(4, 5]",2014,\N,28,0.0,46,1,10,5,1,48,0,tvMovie,0,False,True,0,5,2,46,['GB'],"Animation,Family"
Mozg Sovietskoi Rossii,"(5, 6]",1919,\N,14,0.0,24,1,10,1,0,6,0,short,0,False,True,0,5,0,24,['RU'],"Documentary,Short"
Episode #2.3,"(6, 7]",1987,\N,\N,0.0,14,1,10,0,0,39,0,tvEpisode,0,False,True,0,7,1,14,['GB'],Comedy
La noche de Santa Isabel,"(8, 9]",2007,\N,69,0.0,70,1,10,1,0,167,0,tvEpisode,0,False,True,0,1,0,70,['ES'],"Drama,Mystery,Thriller"
The Absence of War,"(7, 8]",1995,\N,90,0.0,34,1,10,8,0,55,0,tvEpisode,0,False,True,0,1,1,34,['GB'],Drama
Trollstemt - Norsk folkemusikk,"(8, 9]",2023,\N,39,,9,1,10,1,0,54,0,tvSeries,0,True,True,0,1,0,9,['NO'],"Documentary,Music"
Crab Day,"(7, 8]",2023,\N,\N,3.0,81,1,10,4,0,11,2,short,1,False,True,0,1,1,81,['GB'],"Animation,Short"
La Reina de Indias y el Conquistador,"(6, 7]",2020,2020,50,,226,1,10,52,1,154,5,tvSeries,1,True,True,0,17,19,226,['CO'],"Drama,History"
Saat Saheliyan,"(5, 6]",2010,\N,\N,,22,1,10,1,0,19,0,movie,0,False,True,0,1,0,22,['IN'],"Action,Comedy,Drama"
Vision Shorts,"(9, 10]",2010,\N,\N,0.0,22,1,10,1,0,6,0,tvMovie,0,False,True,0,1,3,22,['GB'],Documentary
The Jacaranda,"(8, 9]",2022,\N,\N,0.0,5,1,10,2,0,12,0,video,0,False,True,0,1,0,5,['GB'],"Music,Short"
Together Alone,"(7, 8]",1991,\N,87,3.0,129,1,10,2,0,9,3,movie,0,False,True,0,4,3,129,['US'],Drama
Humanoids from Atlantis,"(4, 5]",1992,\N,45,,109,1,10,3,0,32,2,movie,0,False,True,0,2,2,109,['US'],"Action,Comedy,Sci-Fi"
Dnes naposled,"(8, 9]",1958,\N,99,0.0,111,1,10,74,0,59,0,movie,0,False,True,0,4,1,111,['CSHH'],Drama
Gold Rush: The Legend of Porcupine Creek,"(5, 6]",2020,\N,\N,0.0,8,1,10,1,0,7,0,tvMovie,0,False,True,0,1,0,8,['US'],Documentary
Alike Princesses: Part 1,"(8, 9]",2003,\N,\N,0.0,81,1,10,5,0,14,0,tvEpisode,0,False,True,0,1,0,81,['JP'],"Action,Animation,Comedy"
To Kill a Billionaire,"(6, 7]",1993,\N,45,,36,1,10,0,0,82,0,tvEpisode,0,False,True,0,1,0,37,['US'],"Action,Adventure,Crime"
Episode #1.2,"(7, 8]",2014,\N,59,0.0,41,1,10,1,0,120,0,tvEpisode,0,False,True,0,7,0,41,['GB'],"Comedy,Drama"
My Nephew Emmett,"(6, 7]",2017,\N,20,6.0,755,1,10,5,0,34,21,short,1,False,True,0,4,6,755,['US'],"Drama,History,Short"
Jack Stone: End of the Line,"(7, 8]",2019,\N,64,,47,1,10,12,0,20,0,movie,0,False,True,0,2,0,47,['FI'],"Action,Thriller"
Divorce,"(6, 7]",1963,\N,30,0.0,246,1,10,4,0,38,0,tvEpisode,0,False,True,0,1,2,246,['US'],"Comedy,Family"
Udalaazham,"(6, 7]",2018,\N,\N,0.0,26,1,10,3,1,43,0,movie,1,False,True,0,1,2,26,['IN'],"Drama,Thriller"
Perfect School: Part 2,"(7, 8]",1997,\N,22,0.0,610,1,10,4,0,60,0,tvEpisode,0,False,True,0,1,1,610,['CA'],"Adventure,Comedy,Drama"
My Girlfriend's Abroad,"(6, 7]",2006,\N,82,0.0,20,1,10,0,0,29,0,movie,0,False,True,0,2,0,20,['US'],Comedy
