originalTitle,rating,startYear,runtimeMinutes,awardWins,numVotes,totalImages,totalCredits,titleType,AwNmExWins,canHaveEpisodes,isRatable,isAdult,numRegions,ratingCount,countryOfOrigin,genres,ratingMean,ReviewsTotal
The Electric Can Opener Fluctuation,"(8, 9]",2009,21,0,4568,11,84,tvEpisode,0,False,True,False,1,4570,['US'],"Comedy,Romance",8.5,7
Sashiyum Sakunthalayum,"(4, 5]",2023,122,0,408,7,23,movie,0,False,True,False,3,408,['IN'],Comedy,4.5,0
Justice of the Siblings of the Shinobi Village,"(8, 9]",1984,40,0,9,0,30,tvEpisode,0,False,True,False,1,9,['JP'],"Action,Adventure,Animation",8.5,0
Side Roads,"(6, 7]",2016,17,0,10,1,6,short,0,False,True,False,1,10,['PL'],Short,6.5,0
Boxeurs,"(4, 5]",1900,1,0,13,1,4,short,0,False,True,False,1,13,['FR'],"Comedy,Short",4.5,0
The New Batman Adventures,"(8, 9]",1997,30,6,19746,719,438,tvSeries,10,True,True,False,31,19758,['US'],"Action,Adventure,Animation",8.5,47
Spring,"(7, 8]",1970,23,0,11,93,11,tvEpisode,0,False,True,False,1,11,['GB'],Comedy,7.5,0
The Whole Truth,"(6, 7]",2016,93,0,34144,41,209,movie,1,False,True,False,32,34175,['US'],"Crime,Drama,Mystery",6.5,212
The Man from Thunder River,"(6, 7]",1943,57,0,32,11,35,movie,0,False,True,False,3,32,['US'],"Drama,Western",6.5,1
Leichenfund im Jagen 14,"(5, 6]",1968,74,0,6,0,43,tvEpisode,0,False,True,False,1,6,['DDDE'],Crime,5.5,0
What Did You Do in the War Daddy?,"(6, 7]",1970,40,0,19,4,14,tvEpisode,0,False,True,False,1,19,['GB'],"Drama,History,War",6.5,1
Stuck in the Middle with You,"(5, 6]",2007,30,0,23,1,54,tvEpisode,0,False,True,False,1,23,['GB'],Comedy,5.5,2
Patagonia Treasure Trail,"(4, 5]",2016,85,0,20,3,35,movie,0,False,True,False,2,20,['US'],Western,4.5,0
O ahaireftos,"(5, 6]",1970,83,0,21,46,44,movie,0,False,True,False,2,22,['GR'],Comedy,5.5,0
Kavyaarohan with Momila,"(4, 5]",2020,75,0,5,1,8,tvEpisode,0,False,True,False,1,5,['NP'],Reality-TV,4.5,0
A Woman's Help,"(7, 8]",1961,30,0,438,3,23,tvEpisode,0,False,True,False,1,438,['US'],"Drama,Mystery",7.5,7
Episode #1.3467,"(6, 7]",2007,28,0,13,0,44,tvEpisode,0,False,True,False,7,13,['GB'],"Crime,Drama,Romance",6.5,0
Tørst - Framtidens forbrytelser,"(4, 5]",1999,92,1,8,2,85,movie,0,False,True,False,1,8,['NO'],"Crime,Drama",4.5,0
Sie und Er,"(7, 8]",1992,184,1,10,0,42,tvMovie,0,False,True,False,1,10,['DE'],Drama,7.5,0
Hot Shorts: Christy Canyon,"(7, 8]",1986,71,0,20,0,9,video,0,False,True,True,1,20,['US'],"Adult,Short",7.5,1
Sir Hubert Wilkins & Mary Healy and Peter Lind Hayes,"(8, 9]",1958,30,0,34,5,13,tvEpisode,0,False,True,False,1,34,['US'],"Family,Game-Show",8.5,0
Pälsen,"(5, 6]",1966,25,0,5,1,10,tvMovie,0,False,True,False,2,5,['SE'],Drama,5.5,0
Pryanik,"(5, 6]",1993,10,0,27,5,23,short,0,False,True,False,4,27,['RU'],"Animation,Short",5.5,0
Místa,"(5, 6]",2014,108,0,57,71,48,movie,0,False,True,False,5,57,"['CZ', 'SK']",Drama,5.5,7
Giger - tajunnan ydin,"(4, 5]",1992,30,1,31,1,23,short,0,False,True,False,4,31,['FI'],"Documentary,Short",4.5,0
Sands of Time,"(8, 9]",1997,25,0,33,0,21,tvEpisode,0,False,True,False,1,33,['GB'],"Crime,Drama",8.5,1
In Character With...,"(2, 3]",2009,53,0,17,0,82,tvSeries,0,True,True,False,1,17,['US'],Talk-Show,2.5,0
The Dossier Case,"(9, 10]",2012,40,1,9,1,106,short,5,False,True,False,1,9,['AU'],"Adventure,Comedy,Short",9.5,0
The Mysterious Rain Shelter! Nyasper Is Watching!!,"(7, 8]",2014,21,0,108,2,125,tvEpisode,0,False,True,False,1,108,['JP'],"Action,Adventure,Animation",7.5,0
Hoodlum Priest and the Gold Mint,"(5, 6]",1968,80,0,24,1,9,movie,0,False,True,False,2,24,['JP'],"Action,Crime",5.5,1
Episode #2.46,"(8, 9]",1976,40,0,13,0,54,tvEpisode,0,False,True,False,7,13,['US'],"Comedy,Romance",8.5,0
The Switchman,"(7, 8]",1996,40,0,356,7,72,tvEpisode,0,False,True,False,1,356,['US'],"Action,Adventure,Crime",7.5,11
Ad Fundum,"(6, 7]",1993,98,1,1442,3,87,movie,1,False,True,False,3,1442,['BE'],Drama,6.5,8
Achtunddreißig fünf,"(8, 9]",1993,28,0,25,0,45,tvEpisode,0,False,True,False,1,25,['DE'],"Comedy,Family",8.5,0
Hush,"(6, 7]",2007,81,0,6,0,21,tvMovie,0,False,True,False,1,6,['AU'],Comedy,6.5,0
The Colour of Money,"(6, 7]",2009,53,0,11,1,20,tvSeries,0,True,True,False,1,11,['GB'],Game-Show,6.5,0
Slave,"(2, 3]",2012,110,0,37,1,79,movie,0,False,True,False,2,37,"['CY', 'DE']","Crime,Thriller",2.5,0
And Away We Go!,"(7, 8]",1989,48,0,90,1,68,tvEpisode,0,False,True,False,1,90,['US'],"Drama,Romance",7.5,0
Tricky Business,"(5, 6]",1995,71,0,98,0,8,video,0,False,True,True,1,98,['US'],Adult,5.5,0
Mea Culpa,"(7, 8]",2018,50,0,78,0,158,tvEpisode,0,False,True,False,1,78,"['IT', 'FR']","Drama,Mystery",7.5,1
Ice Bound,"(6, 7]",2003,89,0,612,71,127,tvMovie,1,False,True,False,9,612,"['CA', 'US']",Drama,6.5,16
No More Mr. Nice Guy,"(7, 8]",2018,42,0,226,4,186,tvEpisode,0,False,True,False,1,226,['US'],"Drama,Sci-Fi,Thriller",7.5,2
"Six Man, Texas","(8, 9]",2008,71,1,17,1,42,movie,0,False,True,False,1,17,['US'],Documentary,8.5,6
Hanadama: Gen'ei,"(6, 7]",2016,83,0,35,1,38,movie,0,False,True,False,4,35,['JP'],"Drama,Thriller",6.5,2
State's Attorney,"(6, 7]",1932,79,0,409,30,66,movie,0,False,True,False,10,408,['US'],Drama,6.5,19
Karo and Piyobupt: Ame no Hi,"(5, 6]",1993,4,0,17,1,3,short,0,False,True,False,5,17,['JP'],"Animation,Short",5.5,0
Episode #1.4,"(6, 7]",2023,43,0,58,1,168,tvEpisode,0,False,True,False,7,59,['SE'],"Crime,Drama,Mystery",6.5,0
Saknys karcios,"(8, 9]",2016,17,0,17,10,23,short,2,False,True,False,2,17,['LT'],"Drama,Short",8.5,0
Mary & Adam,"(6, 7]",2018,41,0,36,1,41,tvEpisode,0,False,True,False,1,36,['US'],"Reality-TV,Romance",6.5,0
Hallucination musicale,"(6, 7]",1906,6,0,12,0,2,short,0,False,True,False,2,12,['FR'],Short,6.5,0
Gamma Level: Radioactive,"(8, 9]",1996,25,0,14,1,60,tvEpisode,0,False,True,False,1,14,['AU'],"Action,Adventure,Family",8.5,2
Le magicien,"(6, 7]",1898,1,0,1019,7,3,short,0,False,True,False,7,1021,['FR'],"Fantasy,Horror,Short",6.5,12
New Roles,"(9, 10]",2020,40,0,43,1,49,tvEpisode,0,False,True,False,1,43,['IN'],Drama,9.5,0
David Lomas Investigates,"(9, 10]",2020,53,0,21,3,9,tvSeries,0,True,True,False,2,21,['NZ'],Reality-TV,9.5,1
Una leyenda de amor,"(7, 8]",1982,101,0,15,2,37,movie,1,False,True,False,1,15,['MX'],"Drama,Romance",7.5,0
Les p'tites têtes,"(3, 4]",1982,77,0,27,1,55,movie,0,False,True,False,2,27,['FR'],Comedy,3.5,0
Throne for a Loss,"(5, 6]",1966,6,0,12,0,11,short,0,False,True,False,1,12,['US'],"Animation,Short",5.5,0
Falling for You,"(9, 10]",2016,40,0,12,1,127,tvEpisode,0,False,True,False,1,12,['CA'],"Family,Music",9.5,0
Defund,"(5, 6]",2021,14,1,19,6,21,short,3,False,True,False,1,19,['CA'],Short,5.5,2
His Favorite Pastime,"(4, 5]",1914,16,0,1253,10,19,short,0,False,True,False,16,1253,['US'],"Comedy,Short",4.5,21
I sette del gruppo selvaggio,"(4, 5]",1975,92,0,69,1,45,movie,0,False,True,False,9,69,['IT'],Western,4.5,4
La caperucita roja,"(5, 6]",1960,85,0,138,2,66,movie,0,False,True,False,5,138,['MX'],"Drama,Fantasy",5.5,10
Vingt et une nuits avec Pattie,"(6, 7]",2015,92,3,680,3,88,movie,4,False,True,False,15,680,['FR'],"Comedy,Drama,Mystery",6.5,26
"Duck! Rabbit, Duck!","(8, 9]",1953,7,0,3643,15,17,short,0,False,True,False,12,3643,['US'],"Adventure,Animation,Comedy",8.5,27
Ganz feine Leute,"(6, 7]",1980,24,0,28,0,3,tvEpisode,0,False,True,False,1,28,['JP'],"Adventure,Animation,Comedy",6.5,0
My So-Called Life: My So-Called Life Story,"(9, 10]",2007,24,0,17,0,30,video,0,False,True,False,1,17,['US'],"Documentary,Short",9.5,0
Now You See It,"(7, 8]",2017,3,0,44,1,7,short,0,False,True,False,2,44,['GB'],"Animation,Short",7.5,0
Rose,"(6, 7]",2014,92,0,18,1,18,movie,0,False,True,False,1,18,['IN'],"Drama,Romance",6.5,0
The Sins of the Fathers,"(8, 9]",1970,40,0,72,11,42,tvEpisode,0,False,True,False,1,72,['US'],Western,8.5,6
Dao,"(6, 7]",1995,105,1,3644,15,111,movie,2,False,True,False,19,3645,"['HK', 'CN']",Action,6.5,55
JFK: The Final Evidence,"(7, 8]",2023,129,0,32,5,20,tvMiniSeries,0,True,True,False,2,32,['GB'],"Action,Crime,Documentary",7.5,0
Colours,"(6, 7]",2003,20,1,31,2,31,short,0,False,True,False,1,31,['ES'],"Comedy,Short",6.5,1
You Never Left,"(7, 8]",2010,8,0,14,5,27,short,0,False,True,False,1,14,['US'],Short,7.5,0
Histoire de rire,"(6, 7]",1941,92,0,17,1,23,movie,0,False,True,False,11,17,['FR'],Comedy,6.5,1
In His Father's House,"(7, 8]",1981,49,0,85,1,85,tvEpisode,0,False,True,False,1,85,['US'],"Drama,Romance",7.5,1
Disco,"(7, 8]",2013,29,0,10,0,66,short,0,False,True,False,2,10,['FI'],"Documentary,Short",7.5,0
Heaven Scent,"(6, 7]",1997,40,0,121,3,111,tvEpisode,0,False,True,False,1,121,['US'],"Drama,Romance",6.5,2
Soft Like Me,"(6, 7]",1996,26,0,60,2,20,short,0,False,True,False,2,60,['CA'],Short,6.5,2
Candid Candid Camera Volume 6,"(4, 5]",1987,60,0,47,6,11,video,0,False,True,False,1,47,['US'],"Comedy,Reality-TV",4.5,0
The vow of obedience (An obedient hostage),"(8, 9]",2022,13,0,7,1,3,short,0,False,True,False,1,7,['RU'],"Drama,Short",8.5,0
Wake up! Kabigon!,"(7, 8]",1998,22,0,551,2,39,tvEpisode,0,False,True,False,1,551,['JP'],"Action,Adventure,Animation",7.5,0
1647: Imaginary Friends,"(7, 8]",1992,28,0,13,1,24,tvEpisode,0,False,True,False,1,13,['US'],"Family,Fantasy,Music",7.5,0
The Diplomat,"(7, 8]",2023,50,3,61747,62,678,tvSeries,22,True,True,False,24,61851,"['GB', 'US']","Comedy,Drama,Thriller",7.5,490
Don't Shoot Me Close-up,"(8, 9]",2017,11,0,8,2,7,short,0,False,True,False,1,8,['AZ'],"Comedy,Drama,Short",8.5,0
Pillow Talk,"(7, 8]",1988,47,0,101,2,72,tvEpisode,0,False,True,False,1,101,['US'],"Drama,Romance",7.5,1
The Uninvited,"(3, 4]",2008,97,0,1128,1,45,movie,0,False,True,False,3,1128,['US'],"Horror,Thriller",3.5,21
Fallout: The Wastes,"(7, 8]",2011,12,0,16,2,25,short,0,False,True,False,1,16,['US'],"Action,Short",7.5,0
Japan: The Future,"(7, 8]",2008,46,0,24,2,18,tvEpisode,0,False,True,False,1,24,['CA'],"Adventure,Documentary",7.5,0
Christmas Is,"(4, 5]",1970,30,0,135,3,39,tvMovie,0,False,True,False,1,135,['US'],"Animation,Family",4.5,9
Hae-pi Too-ge-deo,"(7, 8]",1999,65,0,46,20,10,tvSeries,0,True,True,False,5,46,['KR'],"Comedy,Drama,Romance",7.5,2
Home Is Where the Hart Is,"(4, 5]",1987,94,0,157,2,97,movie,0,False,True,False,8,157,['CA'],Comedy,4.5,3
Manila,"(6, 7]",2006,6,1,32,1,10,short,0,False,True,False,1,32,['IT'],Short,6.5,0
Episode #3.8,"(5, 6]",1997,40,0,7,0,4,tvEpisode,0,False,True,False,7,7,['GB'],"Comedy,Talk-Show",5.5,0
"The Forbidden City, Pekin","(3, 4]",1901,13,0,41,1,2,short,0,False,True,False,2,41,['US'],"Documentary,Short",3.5,1
The Punished,"(8, 9]",2012,94,0,13,1,64,movie,0,False,True,False,2,13,['US'],Thriller,8.5,0
Post Telefonic Suspendat Temporar,"(6, 7]",2002,14,0,5,0,3,short,0,False,True,False,4,5,['RO'],Short,6.5,0
The Incorrigible Dukane,"(6, 7]",1915,40,0,29,2,17,short,0,False,True,False,1,29,['US'],"Comedy,Romance,Short",6.5,3
Facing Fearful Odds,"(7, 8]",1974,51,0,88,2,40,tvEpisode,0,False,True,False,1,88,['GB'],Drama,7.5,3
Dokunmayin Sabanima,"(7, 8]",1979,92,0,4191,6,51,movie,0,False,True,False,1,4194,['TR'],"Comedy,Romance",7.5,0
When Flanders Failed,"(8, 9]",1991,30,0,4138,5,163,tvEpisode,0,False,True,False,1,4146,['US'],"Animation,Comedy",8.5,7
Unsere deutschen Kleinstädter,"(8, 9]",1964,90,0,12,0,18,tvMovie,0,False,True,False,1,12,['XWG'],Comedy,8.5,0
Der Fangschuß,"(6, 7]",1976,92,2,1443,10,42,movie,2,False,True,False,20,1443,"['FR', 'XWG']","Drama,War",6.5,23
Maldoror,"(6, 7]",1977,100,0,20,2,22,movie,0,False,True,False,1,20,['IT'],"Drama,Romance",6.5,0
Ikke Uten Min Søster,"(5, 6]",2021,40,0,16,0,92,tvEpisode,0,False,True,False,1,16,['NO'],"Comedy,Drama",5.5,0
Predator: Dark Ages,"(6, 7]",2015,27,0,2862,16,247,short,0,False,True,False,5,2865,['GB'],"Action,Horror,Sci-Fi",6.5,42
Haven: Origins,"(6, 7]",2014,53,0,19,5,81,tvSeries,0,True,True,False,3,19,['US'],Drama,6.5,0
Mimara,"(7, 8]",1991,30,0,15,0,8,short,0,False,True,False,1,15,['HR'],Short,7.5,0
El Banat Ayza Eih,"(5, 6]",1980,92,0,95,3,19,movie,0,False,True,False,1,95,['EG'],"Comedy,Romance",5.5,0
Sundaranga Jaana,"(7, 8]",2016,92,0,56,34,18,movie,0,False,True,False,1,56,['IN'],Comedy,7.5,0
Angels Around Me,"(2, 3]",2013,93,1,108,8,79,movie,0,False,True,False,3,108,['US'],Action,2.5,1
Hyper Show,"(6, 7]",1983,40,0,9,0,54,tvEpisode,0,False,True,False,1,9,['JP'],"Action,Adventure,Animation",6.5,0
Tangier,"(7, 8]",2014,40,0,237,2,200,tvEpisode,0,False,True,False,1,237,['US'],"Drama,History,War",7.5,4
The Best Laid Plans,"(8, 9]",1996,50,0,37,2,80,tvEpisode,0,False,True,False,1,37,['GB'],"Comedy,Crime,Drama",8.5,0
Dr. Henry Lee: The Modern Day Charlie Chan,"(5, 6]",2007,71,0,9,0,9,video,0,False,True,False,1,9,['US'],"Documentary,Short",5.5,1
Opie and the Carnival,"(7, 8]",1965,30,0,302,11,40,tvEpisode,0,False,True,False,1,302,['US'],"Comedy,Family",7.5,4
Pink Lips,"(4, 5]",2012,71,0,8,0,25,video,0,False,True,True,1,8,['US'],Adult,4.5,1
Insatiable,"(6, 7]",1980,77,0,678,0,43,movie,0,False,True,True,8,680,['US'],"Adult,Drama",6.5,27
Blondie,"(5, 6]",1985,90,0,10,0,24,movie,0,False,True,True,1,10,['US'],Adult,5.5,1
Three Wishes,"(5, 6]",1989,35,0,45,8,85,video,0,False,True,False,1,45,['US'],"Family,Fantasy,Short",5.5,1
Meet the Shannons,"(7, 8]",2011,44,0,127,1,180,tvEpisode,0,False,True,False,1,127,['US'],"Crime,Drama,Mystery",7.5,1
La fiera,"(7, 8]",1983,53,2,52,3,64,tvSeries,0,True,True,False,6,52,['MX'],"Drama,Romance",7.5,0
Drive Thru History,"(9, 10]",2005,53,0,149,39,48,tvSeries,0,True,True,False,1,149,['US'],"Documentary,Family,History",9.5,5
Roast-Beef and Movies,"(3, 4]",1934,16,0,270,4,18,short,0,False,True,False,1,270,['US'],"Comedy,Music,Short",3.5,14
La Cucaracha,"(5, 6]",1998,95,1,413,10,191,movie,0,False,True,False,10,413,['US'],"Comedy,Crime,Drama",5.5,26
Hokm al kawi,"(7, 8]",1951,103,0,21,2,10,movie,0,False,True,False,2,21,['EG'],Drama,7.5,0
Lulu's Curls,"(8, 9]",2009,13,0,5,1,24,short,0,False,True,False,1,5,['US'],"Comedy,Short",8.5,0
Shrinks Across the Sea,"(7, 8]",1975,40,0,103,0,46,tvEpisode,0,False,True,False,1,103,['US'],Comedy,7.5,1
Rondaus,"(6, 7]",1994,72,0,8,0,44,movie,0,False,True,False,1,8,['FI'],Drama,6.5,0
S.O.B.,"(7, 8]",2009,45,0,3195,4,146,tvEpisode,0,False,True,False,1,3203,['US'],"Action,Crime,Drama",7.5,5
The Hurricane Heist,"(5, 6]",2018,103,0,22710,50,649,movie,0,False,True,False,41,22725,"['GB', 'US']","Action,Adventure,Crime",5.5,368
The Grandmothers,"(8, 9]",1971,25,0,110,27,30,tvEpisode,0,False,True,False,1,111,['US'],"Crime,Drama",8.5,2
I Want to Be Him,"(7, 8]",2021,49,0,2451,5,236,tvEpisode,0,False,True,False,1,2455,['US'],"Drama,Western",7.5,26
Verine John,"(5, 6]",1974,18,0,11,9,6,short,0,False,True,False,1,11,['SUHH'],"Animation,Short",5.5,0
Fei zi ying xiong lian meng,"(4, 5]",2018,78,0,13,16,37,movie,0,False,True,False,4,13,"['CN', 'TW']","Action,Comedy,Fantasy",4.5,0
Baggage,"(6, 7]",2007,22,0,157,2,93,tvEpisode,0,False,True,False,1,157,['US'],"Comedy,Family",6.5,0
On Angel Wings,"(4, 5]",2014,28,0,46,5,48,tvMovie,0,False,True,False,5,46,['GB'],"Animation,Family",4.5,2
Mozg Sovietskoi Rossii,"(5, 6]",1919,14,0,24,1,6,short,0,False,True,False,5,24,['RU'],"Documentary,Short",5.5,0
Episode #2.3,"(6, 7]",1987,40,0,14,0,39,tvEpisode,0,False,True,False,7,14,['GB'],Comedy,6.5,1
La noche de Santa Isabel,"(8, 9]",2007,69,0,70,1,167,tvEpisode,0,False,True,False,1,70,['ES'],"Drama,Mystery,Thriller",8.5,0
The Absence of War,"(7, 8]",1995,90,0,34,8,55,tvEpisode,0,False,True,False,1,34,['GB'],Drama,7.5,1
Trollstemt - Norsk folkemusikk,"(8, 9]",2023,39,0,9,1,54,tvSeries,0,True,True,False,1,9,['NO'],"Documentary,Music",8.5,0
Crab Day,"(7, 8]",2023,13,3,81,4,11,short,1,False,True,False,1,81,['GB'],"Animation,Short",7.5,3
La Reina de Indias y el Conquistador,"(6, 7]",2020,50,0,226,52,154,tvSeries,1,True,True,False,17,226,['CO'],"Drama,History",6.5,24
Saat Saheliyan,"(5, 6]",2010,92,0,22,1,19,movie,0,False,True,False,1,22,['IN'],"Action,Comedy,Drama",5.5,0
Vision Shorts,"(9, 10]",2010,81,0,22,1,6,tvMovie,0,False,True,False,1,22,['GB'],Documentary,9.5,3
The Jacaranda,"(8, 9]",2022,71,0,5,2,12,video,0,False,True,False,1,5,['GB'],"Music,Short",8.5,0
Together Alone,"(7, 8]",1991,87,3,129,2,9,movie,0,False,True,False,4,129,['US'],Drama,7.5,6
Humanoids from Atlantis,"(4, 5]",1992,45,0,109,3,32,movie,0,False,True,False,2,109,['US'],"Action,Comedy,Sci-Fi",4.5,4
Dnes naposled,"(8, 9]",1958,99,0,111,74,59,movie,0,False,True,False,4,111,['CSHH'],Drama,8.5,1
Gold Rush: The Legend of Porcupine Creek,"(5, 6]",2020,81,0,8,1,7,tvMovie,0,False,True,False,1,8,['US'],Documentary,5.5,0
Alike Princesses: Part 1,"(8, 9]",2003,40,0,81,5,14,tvEpisode,0,False,True,False,1,81,['JP'],"Action,Animation,Comedy",8.5,0
To Kill a Billionaire,"(6, 7]",1993,45,0,36,0,82,tvEpisode,0,False,True,False,1,37,['US'],"Action,Adventure,Crime",6.5,0
Episode #1.2,"(7, 8]",2014,59,0,41,1,120,tvEpisode,0,False,True,False,7,41,['GB'],"Comedy,Drama",7.5,0
My Nephew Emmett,"(6, 7]",2017,20,6,755,5,34,short,1,False,True,False,4,755,['US'],"Drama,History,Short",6.5,27
Jack Stone: End of the Line,"(7, 8]",2019,64,0,47,12,20,movie,0,False,True,False,2,47,['FI'],"Action,Thriller",7.5,0
Divorce,"(6, 7]",1963,30,0,246,4,38,tvEpisode,0,False,True,False,1,246,['US'],"Comedy,Family",6.5,2
Udalaazham,"(6, 7]",2018,92,0,26,3,43,movie,1,False,True,False,1,26,['IN'],"Drama,Thriller",6.5,2
Perfect School: Part 2,"(7, 8]",1997,22,0,610,4,60,tvEpisode,0,False,True,False,1,610,['CA'],"Adventure,Comedy,Drama",7.5,1
My Girlfriend's Abroad,"(6, 7]",2006,82,0,20,0,29,movie,0,False,True,False,2,20,['US'],Comedy,6.5,0
Hot Tight Asses 13,"(6, 7]",1995,71,0,99,0,11,video,0,False,True,True,2,99,['US'],Adult,6.5,0
Intimate Sessions,"(6, 7]",1998,25,0,85,1,170,tvSeries,0,True,True,False,15,85,['US'],Drama,6.5,1
Juanita,"(5, 6]",2019,92,1,2602,6,181,movie,2,False,True,False,14,2603,['US'],Drama,5.5,82
45 Minutes from Hollywood,"(5, 6]",1926,21,0,644,11,32,short,0,False,True,False,7,644,['US'],"Comedy,Short",5.5,18
Scandinavia Cruise: Girl of the Midnight Sun/There'll Be Some Changes Made/Too Many Isaacs/Mr. Smith Goes to Stockholm: Part 2,"(6, 7]",1985,60,0,78,2,90,tvEpisode,0,False,True,False,1,78,['US'],"Comedy,Drama,Romance",6.5,1
Danger Fetish,"(9, 10]",2015,71,0,7,0,8,video,0,False,True,False,1,7,['US'],"Comedy,Short",9.5,0
Jättiläinen,"(6, 7]",2016,97,2,1055,4,140,movie,8,False,True,False,8,1055,['FI'],Drama,6.5,7
Static,"(6, 7]",1985,92,1,744,8,70,movie,3,False,True,False,5,744,['US'],"Comedy,Drama",6.5,33
All Too Human,"(5, 6]",2018,96,0,48,16,138,movie,0,False,True,False,6,48,['US'],Drama,5.5,4
Domoy!,"(5, 6]",1983,92,0,14,2,49,movie,0,False,True,False,2,14,['SUHH'],Drama,5.5,0
Mich gibt's nur zweimal,"(5, 6]",2012,81,0,70,1,69,tvMovie,0,False,True,False,3,70,['DE'],"Comedy,Sci-Fi",5.5,0
Swedish Erotica 74,"(5, 6]",1994,68,0,105,0,9,movie,0,False,True,True,1,105,['US'],Adult,5.5,0
Les Elkes champions du Cake-Walk,"(5, 6]",1903,1,0,98,0,2,short,0,False,True,False,1,98,['FR'],Short,5.5,0
Big Guns,"(6, 7]",1997,49,0,10,1,102,tvEpisode,0,False,True,False,1,10,['US'],"Action,Comedy,Crime",6.5,1
Duo,"(8, 9]",2013,50,0,8,21,17,movie,0,False,True,False,1,8,['US'],Crime,8.5,0
2002: The Rape of Eden,"(4, 5]",1994,90,0,93,2,90,movie,0,False,True,False,7,92,['US'],"Action,Comedy,Drama",4.5,2
Toonerville Trolley,"(5, 6]",1936,7,0,127,1,7,short,0,False,True,False,2,128,['US'],"Animation,Comedy,Family",5.5,5
"Salar, the Leaper","(5, 6]",1957,8,0,49,1,10,short,0,False,True,False,1,49,['US'],"Documentary,Short,Sport",5.5,3
Christmas with the Sex Pistols,"(7, 8]",2013,60,0,15,2,30,tvMovie,0,False,True,False,1,15,['GB'],"Documentary,Music",7.5,0
Whatever Happened to Hannah?,"(8, 9]",1990,48,0,43,5,104,tvEpisode,0,False,True,False,1,43,['US'],Drama,8.5,0
I Just Killed My Dad,"(6, 7]",2022,45,0,6779,11,64,tvSeries,0,True,True,False,33,6785,['US'],"Crime,Documentary",6.5,73
Sportsfreund Lötzsch,"(7, 8]",2007,85,0,30,2,15,movie,0,False,True,False,1,30,['DE'],Documentary,7.5,3
"Unlike Father, Unlike Son","(7, 8]",2015,59,0,579,1,115,tvEpisode,0,False,True,False,1,579,"['GB', 'GP']","Comedy,Crime,Drama",7.5,8
Long Distance,"(6, 7]",2007,15,0,5,0,16,short,0,False,True,False,1,5,['US'],"Drama,Short",6.5,0
Dead by Sunset,"(6, 7]",1995,185,0,443,2,140,tvMiniSeries,1,True,True,False,9,443,['US'],"Drama,Thriller",6.5,18
Christmas Carol,"(7, 8]",1997,40,0,3780,17,153,tvEpisode,0,False,True,False,1,3782,['US'],"Adventure,Crime,Drama",7.5,13
The Fiery Cross,"(8, 9]",2020,67,0,2869,15,315,tvEpisode,0,False,True,False,1,2873,['US'],"Adventure,Drama,Fantasy",8.5,63
Secret Shopper,"(7, 8]",2016,21,0,1213,18,147,tvEpisode,0,False,True,False,1,1214,['US'],Comedy,7.5,4
Episode #4.3,"(7, 8]",2022,40,0,76,49,45,tvEpisode,0,False,True,False,7,76,['AR'],"Crime,Drama,Mystery",7.5,0
Potseluy skvoz stenu,"(3, 4]",2011,87,0,310,1,35,movie,0,False,True,False,2,310,['RU'],"Comedy,Drama",3.5,2
